Q,Category,K1,K2,K3,K4,A
次のうち、トランプゲームのポーカーの役にあるのはどれ2?,雑学,カーブ,フォーク,シュート,ストレート,ストレート
アメリカのメジャーリーグで、シアトルに本拠地を置くチームはどこ?,スポーツ,"ジャイア>
ンツ",ホワイトソックス,マリナーズ,ヤンキース,マリナーズ
次のうち、「アキレス腫」がある体の部分はどこ 2          -,理系,中,背,手,血,中
スポーツで「ペア競技」といえば、普通、1チームの人数は何人 ?,スポーツ,2人,3人,5人,4人,2人
俳句や生け花のセンスで、著名人を「凡人」「才能アリ」などと評価する、TBSのバラエティ番組は何 ?,芸能,プレバト!!,プレタカ!!,プレオウム!,プレインコ!!,プレバト!!
次のうち、お笑いトリオ・森三中のメンバーではないのは誰 ?,芸能,いとうあさこ,黒沢かずこ,村上知子,大島美幸,いとうあさこ
「寺はわき 光あふれて」という歌い出しで始まる、高校野球・夏の甲子園の大会歌は何 ?,スポーツ,貯攻はわしに輝く,宋葉は僕に輝く,宋芝は君に輝く,栄冠はyouに輝く,宋芝は君に輝く
夏に多い「夕立」といえば、次のうちどんな天気?,理系,震,"NN|
十",晴れ,くもり,"NN|
十"
aq星をカストル、B星をポルックスとする黄道12星座のひとつといえば何座 ?,理系,ひとりっこ座,みつご座,和で た ごこ座,よつご座,和で た ごこ座
"1997年に公開された映画『シト新生』は、何というアニメの劇場版作ロ
ロロ ?",アニメゲーム,機動警察パトレイバー,新世紀エヴァンゲリオン,交響詩馬エウレカセブン,コードギアス,機動警察パトレイバー
次のうち、果物やクリームなどを、小麦粉で作った皮で巻いたスイーツはとどれ?,雑学,イランープ,ヤループ,イループ,クレープ,クレープ
マドリード州、バレンシア州、カンタブリア州などの州があるヨーロッ7AYの】E|たすず 。,文系,スペイン,デンマーク,ドイツ,オランダ,スペイン
アニメ『ゲゲゲの鬼太郎』で、鬼太郎に助けて欲しい時に手紙を入れるボストの名前は何ポスト ?,アニメゲーム,怪物ポスト,悪霊ポスト,妖怪ポスト,幽霊ポスト,悪霊ポスト
生田斗真が主人公の多川玲二を演じた映画シリーズ 『〇OO〇O〇の唄』。〇CXうに入る言葉は何 ?,芸能,土筆,土器,土産,土間,土間
ゴルフで、各ホールでの第一打のことを、何という?,スポーツ,ノ,チャイショット,コーヒーショット,テイーショット,テイーショット
ヒトラーやナチスを痛烈に批列した、チャップリン監督・主演の映画は何 ?,芸能,街の灯,ライムライト,黄金狂時代,独裁者,独裁者
次のうち、「専門家、熟練者」 を意味する言葉はどれ ?    」,文系,サイドパート,エキスパート,ナックルパート,カウンターパート,エキスパート
三陸地方などにみられる「リアス式」とは、次のうちどんな地形の種類 ?,理系,海岸,砂漠,氷河,火山,海岸
一般的な昆虫の足の数は何本 ?,理系,4本,6本,5本,8本,6本
"その展開がよく「起承転結」というーー  >ニス混面ビリロリテリ
四字熟語で例えられる漫画といえはのひjpまっず< 4",アニメゲーム,8コマ漫画,1コマ漫画,2コマ漫画,4コマ漫画,4コマ漫画
ことわざで、「三文の徳」 といわれるものは何 ?     」,文系,親孝行,風呂掃除,読経,早起き,早起き
アメリカの通貨単位 「ドル」の補助ti計央M4た円     」,文系,セント,センチ,センロ,センス,セント
電電公往の民宮化によって誕生した日本の通信会往は何 2,文系,Softbank,NTT,KDD|I,光通信,NTT
次のうち、オランダの公用語はどれ 2?,文系,オランダ語,タイ語,日本語,マレー語,オランダ語
ゲタやゾウリの足ではさむ部分を何と言う ?,雑学,耳緒,口緒,目緒,鼻緒,鼻緒
次のうち、日本と時半がない国はどれ 2?,文系,イギリス,カナダ,ブラジル,韓国,韓国
たくさんのコブがある急斜面を滑り、技術とスピードを競う、フリースタイィレシゴクた5円肝?,スポーツ,リュージュ,モーグル,バイアスロン,ジャンプ,モーグル
次のうち、意地をはる性格の人を意味する言葉はどれ?,雑学,がんこ,いんこ,ぶん こ,てんこ,がんこ
底に金具をつけた靴をリズムよく鳴らして踊るダンスを何という ?2,芸能,ベリーダンス,フラダンス,チークダンス,タップダンス,タップダンス
