Q,K1,K2,K3,K4,A
写真帳」を英語でいうと何 ?,loose leaf,account book,nOte,album,album
鮭の内臓をとって、塩漬けにしたものを何という ?,さらまき鮭,はらまき鮭,からまき鮮,あらまき鮭,あらまき鮭
次のうち、約21kmの距離で行われるマラソン競技はどれ ?  _,フルマフソン,ハーフマラフソン,ウルトラマラソン,クォーターマラソン,ハーフマラフソン
秘の暑い時に、風を起こすために用いるものはどれ ?2,うちきさ,うちわ,うちこ,うちみ,うちわ
関門海峡を挟んで九州と面している山口県の都市はどこ ?,上関市,下関市,"右関市""6",左関市,下関市
「秘密戦際ゴレンジャー』の5人のメンバーのうち、ただ1人の女性は何レンジャー ?,キレンジャー,モモレンジャー,アオレンジー,ミドレンジャー,モモレンジャー
漫画『「クロサギ』の主人公・黒崎の職業は何2,詐欺師,闇金の福長,ハッカー,刑事      y : 1303,詐欺師
食パンを、焦げ目がつく程度に焼くことを何と言う?,トースト,イースト,バースト yiit81,コースト,トースト
野球漫画『ドカベン』の主人公の名前は何 ?            -,sp礎一郎,山田太郎,佐藤拓郎 es,高橋義朗,山田太郎
次のうち、江戸時代に、島原の乱が起こった地方はどこ ?,四国地方,九州地方,近畿地方,東北地方,九州地方
大星日に起きた奇跡を描いた三谷幸喜監督の映画『THE 〇〇〇ホテル』。〇〇〇に入る言葉は何 ?,土壇場,有]買天,無表情,,有]買天
次のうち、「10の68乗」を意味する数の単位はどれ ?  -,無茶大数,無理大数,無駄大数,無量大数,無量大数
次のうち、厚着をしたり、太ったりしている様子を意味する言葉はどれ?,ブクブク,パクパク,ビクビク,ガクガク,ブクブク
飛行機の墜落によって無人島に取り残された人々を描いた、アメリカのテレビドラマは何 ?,LOST,HEROS,glee,BONES,LOST
次のアニメのうち、一番早くテレビ放送がスタートしたのはどれ2?,名探偵コナン,ちびまる子ちゃん,クレヨンしんちゃん,サザエさん,サザエさん
NHK連続テレビ小説 『マッサン』で、主人公・亀山政春の母・早苗を演じた女優は誰 ?,泉パン子,泉ポン子     |,泉ペン子,泉ピン子,泉ピン子
次のうち、ダンゴムシの名前の由来はどれ2?,甘い味がする,ダンゴさんが発見 。,ダンゴが好物,ダンゴのように丸まる,ダンゴのように丸まる
アイススケートを行う、氷が張られた施設を何という ?,リンク,カービィ     |,ヨッンー,マリオ,リンク
野球で「完全試合」といった時、打たれたヒットの数はいくつ?,3本,1本,2本,0本,0本
「紳宮球場」の正式名称は「何紳宮野球場」?    ーー   ー,昭和,在成              |,大正,明治,明治
_。 ドラマ『〇OO〇のカイダン』『〇〇があぶない』の〇〇に共通する言葉は回角,学校,交番,役所,空港,学校
俳句を構成する、一般的な音の並びは何 ?,五六七,五五五               |,七七七,五七五,五七五
七夕の伝説に由来する、こと座の星「べベガ」の別名は何 2,おりひめ星,シンデレラ星       |,オーロラ星,しらゆき星,おりひめ星
次のうち、日本にある山脈ではないのはどれ2?,飛騨山脈,木曽山脈     |,天山山脈,奥包山脈,天山山脈
次のうち、生物の体を構成する基本の単位を指すものはどれ?,控用,才能             |,細胞,裁締,細胞
次のゴルフのスコアのうち、最も良いリにどり】たすず2 8呆4,パー5で8打,パー3で4打,パー3で3打,パー4で2打,パー4で2打
。 「モントリオール〇〇〇」や「京都〇つつ〇つ」の〇〇〇に入る、国際条約のひとつは何 ?,説明書,議定書,教科書,古文書,議定書
ファミコンゲーム『ダウンタウン熱血物語』」は、何というゲームの続編作品 ?,スペランカー,グラディウス,快低ヤンチャ丸,熱血硬洲くにおくん,熱血硬洲くにおくん
建物内の部屋の配置を記した図のことを何という ?,間取り図,島典図,谷上図,展開図,間取り図
島のヒナが、目の前で動く物体を、親だと思う逢性を何という ?,すりこみ,とりこみ,のりこみ,もりこみ,すりこみ
日本の会注で、トヨタ、日産、ホンダ、ダイハツといえばどんな会証 ?,銀行,鉄道会計,"IT会放
会村",目動車会計,目動車会計
_ モデルの滝沢つつ〇。〇〇〇は何 ?,アンナ,カレン,ティナ,ニコル,カレン
男子ゴルフで全米、全英オープン、全米プロ、マスターズをすべて制することを何という ?,グランドピアノ,グランドキャニオン,グランドクロス,グランドスラム,グランドスラム
次のうち、俳優の石田純一がめったに身に着けないことで知られるアイテムはとれ?,腕時計,時,時ト,ベルト,時ト
ゲーム 『ケロケロキング』で、プレイヤーが飛ばす生き物は何 ?,ウサギ,トンボ,イタチ,カエル,カエル
酸性で黄色、中性で緑色、アルカリ性で青色を示す、pH指示楽として使われる水溶液は何 ?,BSE溶液,BTB溶液,BCG溶液,BBT溶液,BTB溶液
Eテレで放送されている、2歳児から4歳児を対象とした教育エンターテイメント番組は何 ?,おにいさんといっしょ,おかあさんといっしょ,おねえさんといっしょ,おとうさんといっしょ,おかあさんといっしょ
ドラマ『家なき子』に登場する流行語にもなった台詞は『同情するなら〇をくれ』。〇は ?,車,家,金,水,金
次のうち、拭き掃除をする際に用いられる布はどれ?,いぬ上さん,うまさん,ぞうさん,ねこさん,ぞうさん
シアトル・マリナーズや横浜ベイスターズで活躍した、「大魔御」と呼ばれた元プロ野球選手は誰 ?,佐々木主浩,石井一久,吉井理人,野成英雄,佐々木主浩
「山の日」といえば、毎年何月にあとにゴク]り=肝/     ー,5月,7月,8月,10月,8月
ことわざ「弘法にも筆の誤り」の「弘法」が指す僧介は誰2,空海,道元,親牧,最深,空海
中国の文学者・共巡の代表作『阿〇正伝』。〇に入るアルファベットは回角,Q,P,T,C,Q
ナイキのスニーカー「エア・ジョーダン」の「ジョーダン」とは、誰のこと?,バーバラ・ジョーダン,マイケル・ジョーダン,エディ・ジョーダン,キャシー・ジョーダン,マイケル・ジョーダン
栗田あぐりの漫画『片田シャトル』の題材になっているスポーツは何 ?,テニス,ゴルフ,バドミントン,バスケットボール,バドミントン
RPG『ファンタジーライフ』に登場する職業で、弓を使って敵を攻撃でさるのは何 ?,大工,狩人,裁縫師,控据師,狩人
体から甘い匂いがすることから名付けられた、水面を滑走する昆申は_回角,タガメ,ウンカ,アメンボ,カメムンシン,アメンボ
「十八番」や「馬脚をあらわす」といえば、どんな伝統芸能から生まれた言葉 ?,落語,歌舞伎,"へ
余道",俳句,歌舞伎
次のうち、宝塚歌劇団の5つの組に存在しないものはどれ2?,月組,寺組,光組,化組,光組
