Q,Category,K1,K2,K3,K4,A
マドリード州、バレンシア州、カンタブリア州などの州があるヨーロッ7AYの】E|たすず 。,文系,スペイン,デンマーク,ドイツ,オランダ,スペイン
次のうち、「専門家、熟練者」 を意味する言葉はどれ ?    」,文系,サイドパート,エキスパート,ナックルパート,カウンターパート,エキスパート
ことわざで、「三文の徳」 といわれるものは何 ?     」,文系,親孝行,風呂掃除,読経,早起き,早起き
アメリカの通貨単位 「ドル」の補助ti計央M4た円     」,文系,セント,センチ,センロ,センス,セント
電電公往の民宮化によって誕生した日本の通信会往は何 2,文系,Softbank,NTT,KDD|I,光通信,NTT
次のうち、オランダの公用語はどれ 2?,文系,オランダ語,タイ語,日本語,マレー語,オランダ語
次のうち、日本と時半がない国はどれ 2?,文系,イギリス,カナダ,ブラジル,韓国,韓国
優しさと上厳しさの両方を用いる指導方法 「つ〇〇とムチ」。〇〇〇は回角,文系,アメ,プリン,アイス,ガム,アメ
人生経験が豊かであることの例え「酸いも〇〇も噛み分ける」 。〇〇は何 ?,文系,甘い,若い,旨い,辛い,甘い
"人から音沙汰のないことを、 「無し     I
」と「梨」をかけて、「なしの何」という 2?",文系,つぶあたま,つぶくび,つぶて,つぶあし,つぶて
イスラム教の聖典「コーラン」は、何語で書かれている 2?  「,文系,イタリア語,フランス語,アラビア語,ギリシャ語,アラビア語
江戸時代に栄えた簡学とは、どこから伝わった西洋の学問のこと ?,文系,イタリア,オランダ,イギリス,ドイツ,オランダ
次のうち、焼き物で有名な愛知県の都市はどこ ?   _,文系,水戸市,瀬戸市,紳戸市,八戸市,瀬戸市
アルプス、アンデス、ヒマラヤといえば、どんな地形の領域 ?,文系,山脈,海儲,不野,湖,山脈
本圭がえり、華甲、還暦といえば、数え年で何歳のことを指す ?,文系,81歳,61歳,41歳,21歳,61歳
「コネ入視」などという時の「コネ」は、何という言葉の略 ?,文系,コネクション,コネチカット,コネアワス,コネリガキ,コネクション
「月日は百代の過客にして・・・」という書き出しで始まる、松尾苗葉の紀行文は何 ?,文系,奥の少道,奥の細道,奥の多道,奥の太道,奥の細道
経済学で、国などを巨説的に見るものを「何経済学」という ?,文系,ジャイアント,ギガ,マクロ,ビッグ,マクロ
次のうち、「ユーロ」を通貨単位として導入している国はどこ ?,文系,エジプト,インド,アメリカ,イタリア,イタリア
国土交通省の設置について定めた法律は何?,文系,覚醒剤取締法,似ノJ法,国土交通省設置法,楽事法,国土交通省設置法
預言書 『諸世紀』 を書いた、16世紀のフランスの占星術師は誰 ?,文系,サントラダムス,ノストラダムス,ウルトラダムス,リストラダムス,ノストラダムス
アメリカ合衆国の初代大統領は誰 ?,文系,マルキーニョス,エメルソン,ケネディ,ワシントン,ワシントン
「要求に応じて」という意味の通り、利用者の注文に応じてサービスを提供する方式を何という?,文系,アウトデマンド,オンデマンド,オフデマンド,インデマンド,オンデマンド
次のうち、太宰治の小説 『走れメロレ人軸KGある)のタロ三EDP2 1にAT!すず2ルコ明4,文系,中金を得るため,妹の結婚式に行くため,鬼から逃げるため,トイレに行くため,妹の結婚式に行くため
幼い頃の性格は年をとっても変わらないという意味のことわざ。 「何の魂折まで」 ?,文系,七つ子,九つ子,三つ子,五つ子,三つ子
次のうち、経営学者のピーター・ドレムツル eiのた:生ヨちず2ル 4 2,文系,アポイントメント,トリートメント,マネジメント,ジャッジメント,マネジメント
世界遺産にも登録された「石見銀山」がある都道府県はどこ ?,文系,島根県,奈良県,広島県,北海首,島根県
秋田県の県庁所在地は何市 ?,文系,大館市,男鹿市,秋田市,横手市,秋田市
