Q,K1,K2,K3,K4,A
写真帳」を英語でいうと何 ?,loose leaf,account book,nOte,album,album
鮭の内臓をとって、塩漬けにしたものを何という ?,さらまき鮭,はらまき鮭,からまき鮮,あらまき鮭,あらまき鮭
次のうち、約21kmの距離で行われるマラソン競技はどれ ?  _,フルマフソン,ハーフマラフソン,ウルトラマラソン,クォーターマラソン,ハーフマラフソン
秘の暑い時に、風を起こすために用いるものはどれ ?2,うちきさ,うちわ,うちこ,うちみ,うちわ
関門海峡を挟んで九州と面している山口県の都市はどこ ?,上関市,下関市,"右関市""6",左関市,下関市
「秘密戦際ゴレンジャー』の5人のメンバーのうち、ただ1人の女性は何レンジャー ?,キレンジャー,モモレンジャー,アオレンジー,ミドレンジャー,モモレンジャー
漫画『「クロサギ』の主人公・黒崎の職業は何2,詐欺師,闇金の福長,ハッカー,刑事      y : 1303,詐欺師
食パンを、焦げ目がつく程度に焼くことを何と言う?,トースト,イースト,バースト yiit81,コースト,トースト
野球漫画『ドカベン』の主人公の名前は何 ?            -,sp礎一郎,山田太郎,佐藤拓郎 es,高橋義朗,山田太郎
次のうち、江戸時代に、島原の乱が起こった地方はどこ ?,四国地方,九州地方,近畿地方,東北地方,九州地方
大星日に起きた奇跡を描いた三谷幸喜監督の映画『THE 〇〇〇ホテル』。〇〇〇に入る言葉は何 ?,土壇場,有]買天,無表情,,有]買天
次のうち、「10の68乗」を意味する数の単位はどれ ?  -,無茶大数,無理大数,無駄大数,無量大数,無量大数
次のうち、厚着をしたり、太ったりしている様子を意味する言葉はどれ?,ブクブク,パクパク,ビクビク,ガクガク,ブクブク
飛行機の墜落によって無人島に取り残された人々を描いた、アメリカのテレビドラマは何 ?,LOST,HEROS,glee,BONES,LOST
次のアニメのうち、一番早くテレビ放送がスタートしたのはどれ2?,名探偵コナン,ちびまる子ちゃん,クレヨンしんちゃん,サザエさん,サザエさん
NHK連続テレビ小説 『マッサン』で、主人公・亀山政春の母・早苗を演じた女優は誰 ?,泉パン子,泉ポン子     |,泉ペン子,泉ピン子,泉ピン子
次のうち、ダンゴムシの名前の由来はどれ2?,甘い味がする,ダンゴさんが発見 。,ダンゴが好物,ダンゴのように丸まる,ダンゴのように丸まる
アイススケートを行う、氷が張られた施設を何という ?,リンク,カービィ     |,ヨッンー,マリオ,リンク
野球で「完全試合」といった時、打たれたヒットの数はいくつ?,3本,1本,2本,0本,0本
「紳宮球場」の正式名称は「何紳宮野球場」?    ーー   ー,昭和,在成              |,大正,明治,明治
_。 ドラマ『〇OO〇のカイダン』『〇〇があぶない』の〇〇に共通する言葉は回角,学校,交番,役所,空港,学校
俳句を構成する、一般的な音の並びは何 ?,五六七,五五五               |,七七七,五七五,五七五
七夕の伝説に由来する、こと座の星「べベガ」の別名は何 2,おりひめ星,シンデレラ星       |,オーロラ星,しらゆき星,おりひめ星
次のうち、日本にある山脈ではないのはどれ2?,飛騨山脈,木曽山脈     |,天山山脈,奥包山脈,天山山脈
次のうち、生物の体を構成する基本の単位を指すものはどれ?,控用,才能             |,細胞,裁締,細胞
次のゴルフのスコアのうち、最も良いリにどり】たすず2 8呆4,パー5で8打,パー3で4打,パー3で3打,パー4で2打,パー4で2打
。 「モントリオール〇〇〇」や「京都〇つつ〇つ」の〇〇〇に入る、国際条約のひとつは何 ?,説明書,議定書,教科書,古文書,議定書
