Q,Category,K1,K2,K3,K4,A
"1997年に公開された映画『シト新生』は、何というアニメの劇場版作ロ
ロロ ?",アニメゲーム,機動警察パトレイバー,新世紀エヴァンゲリオン,交響詩馬エウレカセブン,コードギアス,機動警察パトレイバー
アニメ『ゲゲゲの鬼太郎』で、鬼太郎に助けて欲しい時に手紙を入れるボストの名前は何ポスト ?,アニメゲーム,怪物ポスト,悪霊ポスト,妖怪ポスト,幽霊ポスト,悪霊ポスト
"その展開がよく「起承転結」というーー  >ニス混面ビリロリテリ
四字熟語で例えられる漫画といえはのひjpまっず< 4",アニメゲーム,8コマ漫画,1コマ漫画,2コマ漫画,4コマ漫画,4コマ漫画
1990年に発売された、「ファミリーコンピュータ」の後継機であるゲーム機は「何ファミコン」 ?,アニメゲーム,ミラクルファミコン,パワフルファミコン,ウルトラファミコン,スーパーファミコン,ミラクルファミコン
石川チカの漫画 !交番PB』に登場するコンビ、仙波と武田の職業は何 ?,アニメゲーム,郵便局員,消防士,韻察到,目衛,韻察到
「月刊少年ガンガン』に連載されていた衛藤ヒロユキの漫画『魔法陣^〇つつ』。 〇〇〇は ?,アニメゲーム,ザラザラ,ドロドロ,グルグル,パリパリ,グルグル
「顔シューティング』といえば、次のうちどのゲーム機に内蔵されているゲーム ?,アニメゲーム,PSVita,プレイステーション4,ニンテンドー3DS,XboxOne,ニンテンドー3DS
「スペシウム光線」といえば、どんなヒーローが使う必殺技 ?,アニメゲーム,ゴレンジャー,月光仮面,ウルトラマン,仮面ライダー,ウルトラマン
ウのがた:jEIのとコシシル:だコツ っ「ゴムゴムの銃」を使うのは誰 ?,アニメゲーム,孫情空,ゴン・フリークス,モンキー・D・ルフィ,星矢,モンキー・D・ルフィ
「ある日、少女が空から隆ってきた」といえば、何というジブリ映画のキャッチコピー ?,アニメゲーム,となりのトトロロ,天空の城ラピュタ,かぐや姫の物語,在成旬合戦ぼんほこ,天空の城ラピュタ
次のハロルド作石の漫画のうち、音楽バンドを題材にした作品はどれ ?,アニメゲーム,7人のシェイクスピア,ゴリラーマン,ストッパー毒島,BECK,BECK
ゲームの『ドシン』、スポ根漫画の『星』。 共通して前につく言葉は回角,アニメゲーム,巨人の,宇宙の,海底の,鋼鉄の,巨人の
次のうち、作者が女性である漫画はとれ?,アニメゲーム,トリコ,宇宙兄弟,ちはやふる,深夜食写,ちはやふる
沼よしのぶの漫画『キャディ愛』の題材となっているスポーツは何 ?,アニメゲーム,テニス,バレーボール,サッカー,ゴルフ,ゴルフ
アニメ『アルプスの少女ハイジ』で、ハイジと仲良しのユキちゃんってどんねお動物 ?,アニメゲーム,ビーバー,ヤギ,イヌ,ヒツジ,ヤギ
次のコナミのゲームのうち、ブタをプッANY: まう 】とちずす2光中,アニメゲーム,プーヤン,けっきょよく南極大冒険,月風魔伝,フロッガー,プーヤン
漫画 !じょしらく』に登場する、無維亭魔梨威、空琉美遊亭丸京らの職業は何 ?,アニメゲーム,落語家,プロレスラー,書道家,演歌歌手,落語家
次のうち、舞台となった時代が最も古い間画はどれ ?,アニメゲーム,高速エイジ,Cafe吉笠寺で,源氏,丘の上のバンビーナ,源氏
萩尾望都の漫画『〇〇の一族』。〇)〇は何 ?                           -,アニメゲーム,ビー,パー,ペー,ポー,ポー
「『「それいけ! アンパンマン』に登場する、「ハヒフへヘホー ! 」というセリフでおなじみのキャラは何 ?,アニメゲーム,しょくばぱんまん,ばいきんまん,カレーパンマン,アンパンマン,ばいきんまん
コンボ、乱入、投げハメといえば、次のうちどんなジャンルのゲームで使われる用語 ?,アニメゲーム,シューティングゲーム,アドベンチャーゲーム,音楽ゲーム,対戦格闘ゲーム,シューティングゲーム
ゲームの中でも、クリアが困難なゲームのことを、総称して何ゲーという?,アニメゲーム,道断ゲー,無理ゲー,不可ゲー,邪ゲー,無理ゲー
RPG『ファンタジーライフ』に登場する職業で、原石から素材となる鉱2の:PA2Tnrgcっきり】たとき 半/,アニメゲーム,衝人,抹掘師,裁縫師,大工,抹掘師
198S年発売のゲーム『スーパーマリオブラザーズ』の対応マシンは次のうちとれ?,アニメゲーム,カセットビジョン,ファミリーコンピュータ,プレイステーション,セガマークIl,ファミリーコンピュータ
"アニメ『マガンダム』の「Y」は何と読
す) 2",アニメゲーム,アンチエー,サイドエー,ターンエー,バックエー,ターンエー
次のうち、日本を舞台にしたゲームはどれ2?,アニメゲーム,シェリフ,ポパイ,源邊討魔伝,天地を喰らう,源邊討魔伝
Drワイリーという科学者が登場する、カプコンのゲームシリーズは回角,アニメゲーム,戦国BASARA,モンスターハンター,ロックマン,逆転裁列,ロックマン
ゲーム 『!妖怪ウォッチ』に登場する、猫の地縛霊妖怪の名前は何 ?,アニメゲーム,ジバニャン,ツチノコ,ウィスパー,ノガッパ,ジバニャン
次のうち、アニメ『ポケットモンスター』 に登場しないキャラクターはとれ?,アニメゲーム,ニャース,ゼニガメ,ジバニャン,ピカチュウ,ジバニャン
粘土を使ってキャラクターを作り、1コマずつ撮影して作られるアニメを何アニメという?,アニメゲーム,オリジナルアニメ,クレイアニメ,CGアニメ,セルアニメ,クレイアニメ
次のうち、手塚治虫の漫画はどれ ?,アニメゲーム,ホワイト・ジャック,ブラック・ジャック,パープル・ジャック,オレンジ・ジャック,ブラック・ジャック
父を探すためにハンターになった、漫画 『HUNTERxHUNTER』 の主のた本 記一アスリピニンルレ9/,アニメゲーム,ジン,ガン,ゴン,ビン,ゴン
"漫画『青空
g画『青空エール』で、ヒロインの小野つばさが所属している部活は回角",アニメゲーム,吹奏楽部,手芸部,料理部,新体操部,吹奏楽部
さいとう・たかをの漫画『雲盗り暫在』は、何時代を舞台にした作品 ?,アニメゲーム,邊安時代,大正時代,明治時代,江戸時代,江戸時代
アニメ『おねがいマイメロディ』に登場するマイメロディがかぶる頭巾。色は何色 ?,アニメゲーム,オレンジ,イエロー,ブラウン,ビピンク,ブラウン
ゲーム『ストリートファイター』シリーズに登場するハン・ジュリは、2導ゆ】E【ひアッ,アニメゲーム,オーストラリア,アメリカ,韓国,エジプト,韓国
次の漫画のキャラクターのうち、最も年上であるのは誰 2,アニメゲーム,毛利小五郎,ちびまる子ちゃん,クレヨンしんちゃん,のひびひ太,毛利小五郎
次のゲームのうち、RPGではないものはどれ2?,アニメゲーム,ぶよぶよテトリス,ゼノブレイド,ファンタジーライフ,ドラゴンクエストX,ぶよぶよテトリス
2016年に『3つの里の大切な友だち』という作品が発売されたゲームンリーズは何 ?,アニメゲーム,ドラゴンクエスト,牧場物語,女紳転生,ファイナルファンタジー,牧場物語
ウ4のたJE【ひのpまっ6還に衝0にブスた39/1『るのはどれ?,アニメゲーム,食幸のソーマ,クッキングパパ,ワカコ酒,ラーメン大好き小泉さん,クッキングパパ
アニメ『おねがいマイメロディ』に登場するマイメロディがかぶる頭巾。色は何色 ?,アニメゲーム,ビピンク,イエロー,オレンジ,ブラウン,ビピンク
2018年に「ゼロの執行人」という劇}版の作品が公開されたアニメは何 ?,アニメゲーム,妖怪ウォッチ,逆転裁独,ポケットモンスター,名探偵コナン,名探偵コナン
「おまえのものはおれのもの、おれのものもおれのもの」とは、 漫画「ドラえもん』の誰のセリフ 2?,アニメゲーム,ジャイアン,スネ夫,しずかちゃん,のひびひ太,ジャイアン
"漫画 !まじかる吉タルるーートくんに登場す
と|
本丸」の名字
は何2",アニメゲーム,伏見城,江戸城,大阪城,青葉城,江戸城
次のうち、ゲーム『ドラゴンクエスト』シリーズで、ゼロロになると死んKFEp』り】モ2ル明り,アニメゲーム,Gold,HP,MP,EXP,HP
"浅野りんの漫画『京沼れぎおん』の舞台と
な
つ
て
い
る都道府県
県はどこ
こ ブ",アニメゲーム,奈良,兵庫,京都,大阪,京都
尾田栄一郎の漫画『ワンピース」を正しく表記すると、「|」 はいくつでてくる ?,アニメゲーム,3つ,1つ,2Zつ,4つ,1つ
次のティズニーキャラクターのうらしとた:たと4 4ゴSル|たのはとどれ ?,アニメゲーム,チップ,プーさん,ミッキーマウス,ドナルドダック,ミッキーマウス
漫画『ど根性ガエル』で、ど根性ガエルのピョン吉が張り付いたのは、ヒロシの何に ?,アニメゲーム,シャン,帽子,ズボン,かばん,シャン
アニメ 『サザエさん』に登場するイクラちゃんのお父さんは誰 ?,アニメゲーム,ノリスケ,タケオ,"ジミー
ee",ウミヘイ,ノリスケ
次のティズニーキャラクターのうち、シマリスをモチーフにして作られたのはとれ?,アニメゲーム,ドナルドダック,ミッキーマウス,プーさん,チップ,チップ
映画 『ゲド戦記』で監督を務めた、宮崎駿の息子である人物は誰 ?,アニメゲーム,宮崎吾朗,宮崎竹朗,宮崎市朗,品崎太朗,宮崎吾朗
漫画 !ONE PIECE』で、悪魔の実を食べた者が出来なくなることは次のうちとれ?,アニメゲーム,しゃべること,寝ること,走ること,泳ぐこと,泳ぐこと
ジブリ映画『魔女の宅急便』で、主人公のキキが普段着ている服の色は何色?,アニメゲーム,黒,赤,白,"宇
月",黒
「Sオケ」と呼ばれるオーケストラにっ,アニメゲーム,メイちゃんの執事,のだめカンタービレ,花ざかりの君たちへ,ハチミツとクローバパバー,のだめカンタービレ
2019年に任天富が発売したゲーム機0名前は「Nintendo Switch 何」 ?2,アニメゲーム,Lite,Mini,Pro,SuDer,Lite
アニメ映画『アンツ』の主人公、Zはどんな生き物?,アニメゲーム,クモ,ハチ,アリ,トカゲ,アリ
あいかわももこの漫画『コスメの魔法』の主人公、高樹礼子が務めるのは何のメーカー ?,アニメゲーム,ビール,自動車,"デー 所
計唱",化粧品,化粧品
アニメ『「サザエさん』を放送しているテレビ局は次のうちどれ?,アニメゲーム,テレビ朝日,フジテレビ,日本テレビ,TBS,フジテレビ
サクライタケシの漫画『ジャンプの正しい作り方!』の「ジャンプ」とは何の名前 ?,アニメゲーム,小説,ゲーム,漫画雑誌,飲食店,漫画雑誌
漫画『笑ウゥせぇるすまん』」の有名なフレーズ。「何のスキマ、お埋めします」 ?,アニメゲーム,カソゾク,セカイ,ミラフライ,ココロ,ココロ
任天堂が発売したゲーム機で、「ファェミコン」の略称で呼ばれていたのは回角,アニメゲーム,Wii,ファミリーコンピュータ,ゲームボーイ,ゲームキューブ,ファミリーコンピュータ
海野つなみの漫画『〇〇〇は恥だがに立つ』。〇〇〇は何 ?,アニメゲーム,逃げる,投げる,秀げる,下げる,逃げる
ワウくり)ジスに ュレーショ ンゲームシリ 一ズのうち、戦国時代が舞台となっているものはとどれ?,アニメゲーム,三国志,信長の野望,日露戦争,太午洋の嵐,信長の野望
講談往から発売されている漫画雑誌「月刊少年シリウス』は、年に何回行されている ?,アニメゲーム,14回,12回,10回,16回,12回
魔法の力を手にした女の子、野々原姫子を主人公とした漫画作品は『姫ちゃんの何』 ?,アニメゲーム,バレッタ,バッグル,カチューシャ,リボン,バレッタ
漫画雑誌で、アルファベット2文字で「WJ」と略して呼ばれることがあとの)】とちゆひまっす< 62,アニメゲーム,週刊少年ジャンプ,週刊少年マガジン,週刊少年サンデー,週刊少年チャンピオン,週刊少年ジャンプ
「ピビピポサル」という振が登場する、プレイステーションのゲームシリーズは何 ?,アニメゲーム,クラッシュバンディクー,サルゲッチュ,ポケットモンスター,星のカービイィ,サルゲッチュ
ゲーム 『ケロケロキング』で、プレイヤーが飛ばす生き物は何 ?,アニメゲーム,カエル,ウサギ,イタチ,トンボ,カエル
"ファミコンゲーム『謎の村雨城』の狂司と
な
pp
いるのは何
可時
き代2",アニメゲーム,江戸時代,明治時代,弥生時代,年安時代,江戸時代
次の漫画『彼方のアストラ』の登場物のうち、女性は誰2?,アニメゲーム,ザック,シャルス,カナタ,アリエス,アリエス
のひび太の特技でないものはどれ?,アニメゲーム,射撃,昼寝,あやとり,料理,料理
次のうち、バレーボールの漫画は?,アニメゲーム,キャプテン代,キン肉マン,タッチ,サインはVI,サインはVI
漫画『俺物語!!』の主人公・了剛田猛男は次のうちどれ?,アニメゲーム,小学生,中学生,大学生,高校生,高校生
タアモの漫画『アシさん』の主人公・浪川睦は何のアシスタント ?,アニメゲーム,小説家,料理研究家,漫画家,映画監督,漫画家
トランプゲームにおいて、「札の配っに還じ作る: 交べをを::ヨちず 所,アニメゲーム,リテイラー,ディストリビューター,ディーラー,ブローカー,ディーラー
『「ポケットモンスター』に登場するニャースは、分類上は何ポケモンに分けられる ?,アニメゲーム,ばけねこポケモン,こうらポケモン,かえんポケモン,ちょうちょポケモン,ばけねこポケモン
