Q,Category,K1,K2,K3,K4,A
次のうち、「食中毒」と同じ意味で使われる言葉は何2,理系,食あたり,食なし,食あり,食はずれ,食あたり
ものの順序を表す数のことを、特に何という ?         「,理系,DEATH数,Q数,序数,破数,序数
日食のときに、太陽を隠す天体は円時,理系,金星,直星,月,ダークマター,月
次のうち、インフルエンザの病原体はどれ2?,理系,インフルエンザウイルス,インフルエンザ菌,インフルエンザアメーバ,インフルエンザ原申,インフルエンザウイルス
ヒトの結腸の末端部分のことを、その形状から何という 2,理系,R字結腸,Q字結腸,T字結腸,S字結腸,S字結腸
のア:さエミさりまっ0時 もうしよう)】たすずれ 2?,理系,秒速5m,秒速Scm,秒速5Skm,秒速5mm,秒速5Skm
アルファベットで表す時間の単位で、「秒」は「S」、分は「M」ですが、「時」は何 ?,理系,F,L,N,H,H
「ビピタゴラスの定理」の別名を持つ「三在方の定理」が使われるのは、次のうちどんな図形 ?,理系,台形,直角三角形,正方形,円,直角三角形
「アカ」 !「アオ」 「ヒメ」などの種半がいる、オールのように変化した手足が特徴の上過申類は何 ?,理系,ウミガメ,ヤマガメ,リクガメ,ヌメマガメ,ウミガメ
「グリーン」など700種類以上がいる、原始的なトカゲの仲間は何 ?,理系,ダイアナ,マリアナ,女子アナ,イグアナ,イグアナ
ID2ss【のとHIIESYのEッ9472 ryあっらみや頭痛などが起こる症状を何という ?,理系,貧血,寺帳,只血,止血,貧血
次の元素のうち、頭に「パ」をつけると、別の元素の名前になるものはとれ?,理系,リチウム,カリウム,ラジウム,バリウム,ラジウム
次のうち、実際に存在するトンボの種類は何 ?,理系,ウマカラトンボ,ゲキカラトンボ,アマカラトンボ,シオカラトンボ,シオカラトンボ
日本の固有種として知られる鳥、ノグチゲラやヤンバルクイナが生息している島はどこ ?,理系,淡路島,北海道,沖縄島,佐渡島,沖縄島
CGや音響技術を駆使して作られる「仮想現実」のことを、〇〇〇リアリティという。〇〇〇は ?,理系,バースデイ,バーニング,バーコード,バーチャル,バーチャル
防腐剤として使われる「ホルマリン」は、何という有機化合物の水溶液 ?,理系,シンナムアルデヒド,ベンズアルデヒド,アセトアルデヒド,ホルムアルデヒド,シンナムアルデヒド
テストで5人の得点がそれぞれ1点、4三村   3点、   4点、   5点の時、   在均点は回葉怠,理系,3点,2点,5点,4点,3点
観賞用や細工品として使われる、大さな生円形のかさがガ特徴のキノコは回角,理系,ブタノコシカケ,ネネコノコシカケ,サルノコシカケ,ヒツジノコシカケ,サルノコシカケ
次のうち、液体蜜素の特徴として正しいことはどれ2?  ー,理系,とても固い,とても熱い,水の中で保存する,"と      ヽ
ても冷たい","と      ヽ
ても冷たい"
クルクミンという含有成分が二日酔いに良いとされる、ショウガ科の植物は何 ?,理系,サコン,ロコン,ウコン,ニコゴン,ウコン
雨上がりの空に、七色の光のアーチがかかる現象を何という ?,理系,政,蜂,虹,間,虹
次のブラシのうち、歯の手入れに使うものはどれ2?,理系,デッキブラシ,"ヘへアブ
アブランシ",ハブランシ,"工 ア
アブランシ",ハブランシ
