Q,Category,K1,K2,K3,K4,A
次のうち、「アキレス腫」がある体の部分はどこ 2          -,理系,中,背,手,血,中
夏に多い「夕立」といえば、次のうちどんな天気?,理系,震,"NN|
十",晴れ,くもり,"NN|
十"
aq星をカストル、B星をポルックスとする黄道12星座のひとつといえば何座 ?,理系,ひとりっこ座,みつご座,和で た ごこ座,よつご座,和で た ごこ座
三陸地方などにみられる「リアス式」とは、次のうちどんな地形の種類 ?,理系,海岸,砂漠,氷河,火山,海岸
一般的な昆虫の足の数は何本 ?,理系,4本,6本,5本,8本,6本
コンピューターの記憶媒体を初期化することを何という3?,理系,フォーマット,フォーメーション,フォーマル,フォーム,フォーマット
普段は閉じていて、舶の通行などの際にのみ上がる橋を何という 2?,理系,割り橋,上げ橋,跳ね橋,開き橋,跳ね橋
「オームの法則」「フレミングの法則」といえば、どんな科学の分野と関連性が高い法則 ?,理系,有機化学,量子力学,流体力学,電磁気学,電磁気学
テレビでおなじみ、天達武史、森田1光といえは職業は何 ?,理系,気象予報士,宇宙飛行士,歯科技工土,救急救命士,気象予報士
導電にに9月村さりいとるとボ何を表す単位 ?   -,理系,糸の太さ,糸の長さ,糸の硬さ,糸の重さ,糸の太さ
次のうち、物質の三体に含まれないのはどれ2?,理系,液体,気体,固体,プラズマ,プラズマ
"春頃に耳にする 「『開花宣言」といえば、普通、どんな花の開花に関するご つう
三時王還に",理系,セイタカアワダチソウ,つばき,さく,さくぐら,さくぐら
ノロウイルス、カンピロバクター、サルモネラ菌といえば、次のうちどんな症状を引き起こすもの ?,理系,食中毒,湿疹,インフルエンザ,化粉症,食中毒
爪を切る際に、痛みが出るほどと切りすきぎてしまうことを何という ?,理系,短爪,深爪,少爪,小門,深爪
「日本三大地鶏」の1つにも数えられる、愛知県生まれの鶏の品種は名古屋の〇〇」 。 の〇〇〇は ?,理系,サラブレッド,コーチン,ホルスタイン,ジャージー,コーチン
装館品・印材・光学機材などに利用される、六角柱状の石英を何という?,理系,土晶,金品,火晶,水晶,水晶
工業排水に含まれる有機水銀を原因として、熊本県の水俣湾周辺で発生した公害病は何 ?,理系,天草病,人吉病,八代病,水俣病,水俣病
二酸化炭素など一部を除いた、炭素を含む化合物の総称は何 2,理系,年代物,有機物,世話物,感動物,有機物
相対性理論の提唱で知られる、アルバート・アインシュタインの出身国はとどこ?,理系,ドイツ,バヌアツ,トンガ,フィジー,ドイツ
地震が起きた時に、地盤の水分が砂と一緒に噴き出す現象を何という 2?,理系,フェーン現象,液状化現象,ブラウン現象,チンダル現象,液状化現象
涙の量が少なくなり、目の表面が乾燥して起こる病気を何という2?,理系,クールアイ,レッドアイ,タスケアイ,ドライアイ,ドライアイ
「マッハ」といえは何の単位 2,理系,明るさ,車さ,速さ,大きさ,明るさ
現代の科学では十分な説明ができない、予知や透河などの現象を何という?,理系,超常現象,和会現象,天文現象,生命現角,超常現象
化学式H2S04で表される、金属をよく溶かす硫黄のオキソ酸のひとつは回角,理系,硫金,硫液,硫酸,硫石,硫酸
しし座のデネボラ、うしかい座のアークトウルス、おとめ座のスピカを結んだ図形を何という ?,理系,春のセンバツ,春の祭典,春の大三角,春の七草,春の大三角
次のうち、人循環問はどれ ?,理系,"==|
月",小腸,大腸,心臓,心臓
木の樹脂が長い年月をかけて固まってできた宝石は何 ?,理系,預唆,水晶,真珠,琉垢,琉垢
整形手術の「豊胸術」を受けることによって叶うのは、次のうちどんなこと?,理系,あごが渡せる,腰回りが細くなる,バストアップする,凌の所が増える,バストアップする
合金の一種「ニクロム」に含まれている、元素記号「Ni」の元素は何 ?,理系,ニッケル,ネオン,ナトリウム,守素,ニッケル
ドイツの地質学者の名前がつけられた、かつて日本に生息していたゾウの仲間は何 ?,理系,ナウマンゾウ,モースゾウ,フェルスマンゾウ,クラークゾウ,ナウマンゾウ
次のうち、体を、木の枝や葉に似せることで知られる昆虫はどれ?,理系,ハチフン,ナナフシ,キュウフン,ロクフン,ナナフシ
TRh式」 「ABO式」といえば、何の分類?       ー,理系,紳経,血液型,遺伝子,細胞,血液型
別名を「カリブー」という、サンタクロースのソリを引くシカ科の動物は何 ?,理系,トナカイ,エゾシカ,インパラ,バイソン,トナカイ
クジラが水面で息継ぎをする時に噴くものといえば、次のうちどれ ?,理系,塩,潮,炎,晶,潮
宝石の一種「ターコイズ」のことを、ある国名を使って何という ?,理系,トルコ石,シリア石,ギリシャ石,イラク石,トルコ石
主に宝石の重さを測る際に用いられる、0.2gを1とする重さの単位は回角,理系,スカット,ペリット,タラット,カラット,カラット
「ヒートアイランド現象」といえば、どんなことがらに関する現象 ?2,理系,放射性物質の分布,海底の火山活動,都市部の気温,島内部の生物相,都市部の気温
鳴門海峡のものが有名な、うずを巻く潮の流れを何という ?,理系,親潮,満潮,渦潮,,渦潮
茶色の斑点を何という ?2,理系,だんごかす,こはんかす,うどんかす,そばかす,そばかす
脇の下に塗ったり吹きかけて使う、汗を抑えるための薬剤を何という?,理系,圧汁剤,禁汗剤,洗顔フォーム,制汗剤,制汗剤
その化石は示準化石として重要富されている、 古生代に生息した生物は回角,理系,九葉虫,導葉申,十二葉申,三葉虫,三葉虫
和名を「オウゴンカズラ」という、園芸植物としておなじみのサトイモ笠の植物は何?,理系,アトス,アフミス,ポルトス,ポトス,ポトス
リライオンキング』に登場するティモンのモデルにもなった、別名「スリカータ」という動物は何?,理系,ミーアベア,ミーアキャット,ミーアラビット,ミーアドッグ,ミーアキャット
血糖値を下げる働きがある、腰臓から分泌されるホルモンは何 ?,理系,コルチゾール,アドレナリン,グルカゴン,インスリン,インスリン
昔話『桃太郎』に登場する次のキャラクターのうち、ほ乳類ではないのはとどれ?,理系,イヌ,枕太郎,キジ,サル,キジ
銀色に輝き、「軽銀」とも呼ばれるETたる幅時?    -  「,理系,カルシウム,ナトリウム,バナジウム,アルミニウム,アルミニウム
病気のひとつ「心不全」の「心」が表しているものは何?,理系,心臓,"是
点心",車心,心理学,心臓
