Q,K1,K2,K3,K4,A
次のうち、ゴルフで 「エージシュート」を達成することが可能な年齢はとれ?,16歳,12歳,8歳,20歳,20歳
兄は和正、弟は敬幸。元プロ野球選手で、この兄弟の苗字は何?,河栓,野口,松沼,定岡,河栓
NHK連続テレビ小説『純情きらり』で、ヒロインの有森桜子が目指す職業は何 ?,銀行員,教師,ピアニスト,ダイバー,ピアニスト
EEEHEiIfS ヨッルョルレっ王>くそてシロニー」の用途は次のうちどれ2?,人類の移住先,宇宙実験の施設,スペースシャトルの基地,宇宙戦争の兵器,人類の移住先
オスが卵を自らの後ろ足に付着させて魚化させる知性を持つカエルの名前は ?,タンゴガエル,コサックガエル,バレエガエル,サンバガエル,サンバガエル
「駅馬車』」や『男の敵』などの作品で知られるアメリカの映画監督は上:壮4,ルノー,クライスラー,ロータス,フォード,フォード
小説「機動戦士ガンダム 関光のハサウェイ」で主人公ハサウェイ・ノアが乗るガンダムは?,=ガンダム,ゆりガンダム,bhガンダム,>ガンダム,=ガンダム
「十文字ラーメン」はどこのご当地ンジ アル/   -,秋田県,鹿児島県,山口県,岐阜県,秋田県
水島新司の漫画『あぶさん』で、主人公・景浦安武が所属したプロ野球SEIとる円計4,ファイターズ,ライオンズ,マリーンズ,ホークス,ホークス
吉田沙保里がオリンピックで最初に金メダルを鈴得したのは、どこの都市で開催された大会 2,アトランタ,ロンドン,アテネ,ソウワル,アテネ
キュリー夫妻が発見し、彼らの坦国から命名した元素は何 ?,ポロニウム,ゲルマニウム,フランシウム,アメリシウム,ポロニウム
15歳以上65歳未満の人口を何といつう?,生産年齢人口,年少人口,老年人品,プ働人口,生産年齢人口
精旭科医でもあり、歌集「赤光」で知られるのは、 次の誰?,斎膝道三,斎藤一人,斉膝成吉,さいとう・たかを,斉膝成吉
スーパーミドル級よりひとつ軽い、ボクシングのWBA・WBCの階級は何,ライトフライ級,フェザー級,ミドル級,ヘビー級,ミドル級
グラミー賞のトロフィーは何の形をしている 2,"凌音
機",音叉,マイク,ハープ,"凌音
機"
