Q,Category,K1,K2,K3,K4,A
アメリカのメジャーリーグで、シアトルに本拠地を置くチームはどこ?,スポーツ,"ジャイア>
ンツ",ホワイトソックス,マリナーズ,ヤンキース,マリナーズ
スポーツで「ペア競技」といえば、普通、1チームの人数は何人 ?,スポーツ,2人,3人,5人,4人,2人
「寺はわき 光あふれて」という歌い出しで始まる、高校野球・夏の甲子園の大会歌は何 ?,スポーツ,貯攻はわしに輝く,宋葉は僕に輝く,宋芝は君に輝く,栄冠はyouに輝く,宋芝は君に輝く
ゴルフで、各ホールでの第一打のことを、何という?,スポーツ,ノ,チャイショット,コーヒーショット,テイーショット,テイーショット
たくさんのコブがある急斜面を滑り、技術とスピードを競う、フリースタイィレシゴクた5円肝?,スポーツ,リュージュ,モーグル,バイアスロン,ジャンプ,モーグル
バスケットボールの反則「トラベリング」とは、ボールを持って何歩以上歩くこと?,スポーツ,4歩,3歩,5歩,2歩,3歩
スキーのノルディック複合といえば、クロスカントリーと何の組み合わせ :,スポーツ,早食い,水泳,ジャンプ,クイズ,ジャンプ
最高時速が130kmを超えることもあるボブスレーの別名は次のうちどれ ?,スポーツ,氷上のチェス,氷上の格闘技,氷上のF1,氷上の女王,氷上のF1
モータースポーツの車に取り付けるハンドルを指す言葉はどれ?,スポーツ,ステアリング,アイドリング,エンゲージリング,カウンセリング,ステアリング
1959年にプロ野球審誕の二出川延明が言った言葉は「俺がつ〇〇だ」。〇つ〇〇は ?,スポーツ,お品書き,ルールブック,パンフレット,電話帳,ルールブック
バスケットボールなどの試合中に必要となる、濡れた床をモップなどで拭く人を何という?,スポーツ,ゾウキナー,ソウジキャー,フキナー,モッパー,モッパー
日本のプロリーグで、「セ・リーグ」 「パ・リーグ」といえば、どんなスポーツのリーグ ?,スポーツ,サッカー,野球,バスケットボール,バレーボール,野球
「競能』といえば、どんな動物によるレース競技 ?,スポーツ,ウン,ウサギ,ラクダ,ゾウ,ラクダ
SHと略されるラグビーのポジション生和回記2,スポーツ,プロップ,スクラムハーフ,ロック,ウイング,スクラムハーフ
F1などのカーレースで、ドライバーがレース中に着用する服装を一般的に何という ?,スポーツ,レーシングマント,レーシングブルゾソゾン,レーシングブラウス,レーシングスーツ,レーシングスーツ
フジテレビ系列の「バボちゃん」といえば、どんな競技に関するマスコットキャラクター ?,スポーツ,バレーボール,フィギュアスケート,テニス,駅伝,テニス
毎年春に「選抜高等学校野球大会」が行われる場所はどこ2,スポーツ,東京ドーム,日本武道館,札幌ドーム,甲子園球場,甲子園球場
野球帽で「ひさし」のように出ている部分を何という ?,スポーツ,つば,つばき,よだれ,だえさ,つば
元サッカー選手の橋崎正剛が担当したボポジションはどこ3?,スポーツ,ゴールキーパー,ミッドフィルダー,ディフェンダー,フォワード,ゴールキーパー
プロ野球で、シーズンの最多勝利投手を巡る争いのことを、何ダービーという2,スポーツ,コーシー,ムーネー,ヒーザー,ハーラー,ハーラー
スポーツの一種『「カバディ」はどこEE:EオクシGtツだ,スポーツ,ベトナム,モンゴル,インド,中国,インド
野球場で、選手の名前をアナウンスする女性アナウンサーのことを俗に何という3?,スポーツ,コマドリ嬢,ホトトギス嬢,ウグイス嬢,メジロ嬢,メジロ嬢
次のうち、「バックトス」というプレーがある競技はどれ?,スポーツ,フェンシング,アマチュアレスリング,サーフィン,バレーボール,バレーボール
次のうち、基本的に、試合中に審放kao9/NAァを eky4とす2ル 4 E,スポーツ,アイスホッケー,サッカー,テニス,ラグビー,テニス
リオデジャネイロロ五輪のテニスで、日本勢として96年ぶりにメダルを和欠得した選手は誰 ?,スポーツ,ダニエル太郎,杉田征一,松岡修造,病織主,病織主
相撲はどこの国で生まれたスポーン 2,スポーツ,日本,中国,イギリス,アメリカ,日本
"野球のメジャーリーグのことを、日本語では
唱
名「何リーグ
」 と
いつ 2?",スポーツ,最リーグ,来リーグ,外リーグ,大リーグ,大リーグ
次のうち、最も年齢が低いのは誰 ?,スポーツ,移生結弦,高橋大輔,町田樹,小塚崇彦,移生結弦
相撲で行司といえば、どういった役目の人 ?,スポーツ,特定力士への肩入れ,負傷者の手当て,配当の調整,勝負の剤定,勝負の剤定
"野球用語で、『:
    ナイー」の後ろに続く言葉は何 ?",スポーツ,ヒント,テント,バント,マント,バント
Jリーグのサッカークラブ「サガン」がホームタウンとする佐賀県の市はどこ?,スポーツ,ぶろつく,,とす,ご ーー.ぶ,とす
次のうち、ロサンゼルス五輪で金メダルを獲得した陸上選手・吉岡隆徳につけられた異名はどれ?,スポーツ,暁の超特急,暁の超鈍行列車,暁の超三輪車,暁の超一輪車,暁の超特急
ー           ーーササイズといえば何?2,スポーツ,アネロビクス,テトラビクス,ロシアビクス,エアロビクス,エアロビクス
野球で、バットを振って3ストライクを取られたものを 「何の三振」 という ?,スポーツ,無茶振りの三振,素振りの三振,空振りの三振,大振りの三振,空振りの三振
サッカーJリーグの「G大阪」。Gって何の略 ?             」,スポーツ,ゴッド,グッド,ゲスト,ガンバ,ガンバ
"「サイドチェスト」などのボーズで、鍛え上げた筋肉の発達度などを如い合う競技
といえば何 ?",スポーツ,カーリング,ハイアラフイ,カポエイラ,ボディビル,ボディビル
ボクシングで、審剤が、試合続行不可能と重断して試合を終わらせることを何という ?,スポーツ,ジュリーストップ,アンパイアストップ,レフェエリーストップ,ジャッジストップ,レフェエリーストップ
往年の名選手、ベーブ・ルースといえば、どんなスポーツで活躍した選手?,スポーツ,野球,ボクシング,テニス,アメリカンフフットボール,アメリカンフフットボール
次のうち、「オリンピック」を表す言葉はどれ ?      」,スポーツ,三輪,四輪,五輪,導輸,五輪
ゴルフで、コース内の障害物として作られた砂でできたくほ地を何という?,スポーツ,フェアワウェイ,バンカー,グリーン,フフ,バンカー
柔道の技名で、製婆、上四方、横四方などの後ろに共通してつく言葉は回角,スポーツ,固め,払い,送り,投げ,固め
相撲において、本場所の8日目のことを何という?,スポーツ,中日,巨人,阪旭,楽天,中日
