Q,Category,K1,K2,K3,K4,A
俳句や生け花のセンスで、著名人を「凡人」「才能アリ」などと評価する、TBSのバラエティ番組は何 ?,芸能,プレバト!!,プレタカ!!,プレオウム!,プレインコ!!,プレバト!!
次のうち、お笑いトリオ・森三中のメンバーではないのは誰 ?,芸能,いとうあさこ,黒沢かずこ,村上知子,大島美幸,いとうあさこ
生田斗真が主人公の多川玲二を演じた映画シリーズ 『〇OO〇O〇の唄』。〇CXうに入る言葉は何 ?,芸能,土筆,土器,土産,土間,土間
ヒトラーやナチスを痛烈に批列した、チャップリン監督・主演の映画は何 ?,芸能,街の灯,ライムライト,黄金狂時代,独裁者,独裁者
底に金具をつけた靴をリズムよく鳴らして踊るダンスを何という ?2,芸能,ベリーダンス,フラダンス,チークダンス,タップダンス,タップダンス
ヒット曲『UFO』や『ペッパー警部』で知られるピンク・レディーは回めき|計,芸能,5人組,3人組,4人組,2人組,2人組
「シミキン」の愛称で人気を博した、往年の喜劇俳優は誰 ?,芸能,榎本健一,清水金一,膝山寛美,箇我親家蝶六,清水金一
「軍師官兵衛』や『下清盛』 など、NHKが毎年放送している歴史長編ドラマシリーズは何 ?,芸能,河川ドラマ,大河ドラマ,氷河ドラマ,流水ドラマ,大河ドラマ
次のうち、弦楽問はどれ ?,芸能,クラリネット,和太鼓,ハープ,フルート,ハープ
次のうち、料理番組はどれ ?,芸能,やべっちFC,おしゃべりクッキング,報道ステーション,Qさま!|,おしゃべりクッキング
TBSの番組『ぴったんこカン・カン』で司会を務めたアナウンサーは誰?2,芸能,小笠原理,安住紳一郎,斉膝哲也,国山ハセン,安住紳一郎
ーー 『系』 『時代』『地上の星』などの楽曲で知られる女性歌手は誰 ?,芸能,遊佐未森,香西かおり,中島みゆき,イルカ,中島みゆき
石川さゆりの演歌『津軽海峡・冬景色』の歌い出しは「〇〇〇発の夜行列車おりた時から」。 〇〇〇は ?,芸能,"こ上上
洲谷",上野,東京,新倫,上野
アメリカのTVドラマ『奥さまは魔女』で、主人公の奥さまの名前は回角,芸能,タバサ,サマンサ,ルイーズ,エンドラ,サマンサ
次のうち、結婚式の定番ソングとして人気の、中島みゆきのヒット曲はとれ?,芸能,木,中,ル,終,終
次のうち、NHK連続テレビ小説を意味する言葉はどれ?,芸能,昼ドラ,夜ドラ,タドラ,朝ドラ,朝ドラ
"ー  ーー
リーコーナーがあるテレビ番組『噂の !〇つつ〇』。 の〇〇〇びは何 ?",芸能,大阪マガジン,東京マガジン,札幌マガジン,忠岡マガジン,東京マガジン
「氷上のお殿様」というブログを開設している、元フィギュアスケート選手であるタレントは誰 ?,芸能,篠原信一,織田信成,佐々木健介,須藤元気,織田信成
愛川欲也とともに劇団「キンケロ・シアター」を立ち上げたタレントは上:壮4,芸能,中村玉緒,五月みどり,野際陽子,うつみ宮土理,うつみ宮土理
_ 映画『ライフ・イズ・〇OO〇OO〇O』 と『OOO・マインド』の〇〇〇に共通する言葉は何 ?,芸能,ジョイフル,ビューティフル,ハートフル,ワンダフル,ビューティフル
次のうち、日本テレビのトーク番組「おしゃれイズム』のMCの1人だった俳優は誰 ?,芸能,藤木直人,八嶋智人,細川成樹,谷原章介,藤木直人
「東京中央銀行」という架空の銀行を舞台とする、堺雅人主演のTBSドラマは何 ?,芸能,リーガルハイ,年沢直樹,ジョーカー,大奥,年沢直樹
時代劇ドラマなどで役者が行う、格闘や斬り合いなどの演技を何という?,芸能,じゅうじ,よこ,たて,ななめ,たて
次のうち、日本テレビの番組 『月曜から夜ふかし』でMCを努めているタレントは誰 ?,芸能,セツコ・デラックス,マツコ・デラックス,ミツコ・デラックス,エツコ・デラックス,マツコ・デラックス
宇宙船「エンタープライズ号」の乗組員たちを描いた、アメリカのSFテレビドラマンシリーズは何 ?,芸能,スタートラック,スタートリック,スタートレック,スタートロック,スタートレック
次のうち、ドラマ【「電車男』」のヒロインの名前はどれ ?   -,芸能,シャネル,ヴィトン,エルメス,コーチ,エルメス
4 用 理|通何時のこと ?   -,芸能,15時,0時,9時,6時,0時
テレビ業界で「河聴率三先王」といえば、「全日」「プライムタイム」と何でトップになること?,芸能,ブロンズタイム,シルバータイム,プラチナタイム,ゴールデンタイム,ゴールデンタイム
次のうち、AKB48で初代総監督を務めた元メンバーは誰 2,芸能,高橋きた,高橋にし,高橋みなみ,高橋ひがし,高橋みなみ
宝塚歌劇団の舞台『ファントム』の題材となっている、ガストン・ルルーの小説は何 ?,芸能,風と共に去りぬ,オペラ座の怪人,ロロミオとジュリエット,誰がために鍵は鳴る,オペラ座の怪人
小西良幸という名前でも活躍する、ファッションチェックで有名な日本のデザイナーは誰 ?,芸能,ノン小西,ゴン小西,ドン小西,ボン小西,ゴン小西
設楽統と日村田紀からなるお笑いコンビは何2 。,芸能,メロンマン,バナナマン,レモンマン,スイカマン,バナナマン
次の俳優のうち、年齢が一番上なのに誰?,芸能,ムロツヨンシン,田中詩,吉田鋼太郎,,吉田鋼太郎
お笑いコンビ、南海キャンティーズの山里宮太の愛称といえば「何ちゃん」 2,芸能,況ちゃん,太ちゃん,里ちゃん,山ちゃん,山ちゃん
キャスターとして活躍する中西哲生や永島昭浩といえば、かつてどんなスポーツのプロ選手だった ?,芸能,テニス,ゴルフ,サッカー,ボクシング,サッカー
アルファベット3文字で「CKB」と略記されるロックバンドは何?,芸能,サザンオールスターズ,クレイジーケンバンド,Mrchildren,クレイジーキャッツ,クレイジーケンバンド
往年の漫才師・横山やすしのおなじみのネタ。身に着けていた何を探すというもの ?,芸能,時計,かつら,メガネ,ネクタイ,メガネ
IPI20にゴクME了yoとで、主人公のトム・リプレーを演じたフランスの俳優は誰 ?,芸能,アラン・ドロン,アラン・プロスト,アラン・シェパード,アラン・ポー,アラン・ドロン
ドラマ『ラブ・レボリューションや『ショムニ』に主演した女優は上:壮4,芸能,仲間由紀恵,松嶋茶々子,江角マキコ,鋭月ありさ,江角マキコ
タレント・北斗晶の公式ブログ「そこのけそこのけ〇〇が通る」。〇〇に入る言葉は何 ?,芸能,,美魔女,鬼嫁,姫君,鬼嫁
ジョージやサトルなどの人形とともに「ボイス・イリュージョン」を見せる、腹話術師は誰 ?,芸能,ニコライ堂,一風掌,いっこく堂,金色宇,いっこく堂
わらべ歌『かごめかごめ』の歌詞で、「かごめかごめ」に続く言葉は回角,芸能,かごの中の犬は,かごの中の鳥は,かごの中の中は,かごの中の猫は,かごの中の鳥は
バッハ、ベートーベン、ブラームスといえば、どこの国の作曲家 ?,芸能,ドイツ,イタリア,アメリカ,フフンス,ドイツ
映画『七人の侍』を手がけた、日本を代表する映画監督は誰 ?,芸能,深作座二,小津安二郎,黒洋明,木下患介,黒洋明
映画 !ハリー・ポボポッター」』シリーズで、ハーマイオニーを演じた女優は上:壮4,芸能,エマ・ワトソン,エマ・アドラー,エマ・モリアーティ,エマ・ホームズ,エマ・ワトソン
小栗旬と石原さとみが主演した、フジテレビのドラマは『リッチマン、〇つ〇〇』。 のの〇は ?,芸能,プアウーマン,サラリーマン,ウルトラマン,ガードマン,プアウーマン
日本古来の楽器「三味線」の弦の数は何本2    -,芸能,3本,4本,2本,1本,3本
次のうち、石川さゆりのヒット曲のダイトルはどれ 2?,芸能,丹波越え,伊賀越え,白川越え,天城越え,天城越え
の子、mono、みさこの3人からなるロックバンドは「紳聖つOO〇」。〇C,芸能,くまってちゃん,かまってちゃん,こまってちゃん,さまってちゃん,かまってちゃん
フォークデュオ、ゆずの北川悠仁の妻である、元フジテレビのアナウンサーは誰 ?,芸能,小林麻耶,高島彩,礎佐彩子,中野美奈子,高島彩
ko-dai、eyeron、mattyの3人からなる音楽グループは何?,芸能,ハンドルポケット,レーダーポケット,レバーポケット,ソナーポケット,ソナーポケット
映画 リキル・ビル』シリーズなどを手がけた、「タラちゃん」の愛称で呼ばれる映画監督は誰 ?,芸能,タランチュラ,タラスカハン,タダタラップ,タランティーノ,タランティーノ
次のうち、日本テレビの番組 『月曜から夜ふかし』でMCを務めているタレントは誰 ?,芸能,IKKO,クリス松村,ミッツ・マングローブ,マツコ・デラックス,マツコ・デラックス
NHK大河ドラマ『真田丸』で主人公の真田信繁を演じた俳優は誰 ?,芸能,堺雅人,相村雅彦,大泉洋,高嶋政伸,堺雅人
DE較馬ELeIElpAI隊/ま者た、東京都出身の女優は誰 ?,芸能,春帆,冬帆,夏帆,秋帆,夏帆
三谷幸喜脚本のドラマ『古畑任三郎』 で、主人公・古畑任三郎の職業は何 ?,芸能,警察巨,教師,弁護士,プロ野球選手,警察巨
久住小春、藤本美中、辻希美といったタレントが、かつて所属していたアイドルグループは何 ?,芸能,モーニ ング娘。,AKB48,アイドリング員,Berryz工房,アイドリング員
次のうち、フジテレビの本視があるのはとどとこ?,芸能,導本木,赤坂,汐留,台場,台場
「ゴマキ」の愛称で呼ばれる、モーニング娘。の元メンバーは誰 ?,芸能,加護亜依,中溢子,膝本美貴,後藤真希,後藤真希
飛行機の墜落によって無人島に取り残された人々を描いた、アメリカのテレビドラマは何 ?,芸能,HEROS,LOST,BONES,glee,LOST
缶コーヒー「FIRE」のCM曲『フィール・ザ・ファイア』を歌った、アメリカの歌手は誰 ?,芸能,スティービー・ワンダー,スティービー・サンダー,スティービー・テンダー,スティービー・アンダー,スティービー・ワンダー
映画『魔女の宅急便』のオープニングテーマにもなった、松任谷由実の曲は何 ?,芸能,アイシャドーの伝言,ルージュの伝言,マスカラの伝言,マニキュアの伝言,ルージュの伝言
写真集『私の奴隷になりなさい』やフォトエッセー『はじしらず』を発売したタレントは誰 2,芸能,優香,小霊,壇蜜,夏楽,壇蜜
映画やドラマで男女の情事を描いた場面を、歌舞伝に由来する言葉で何という2,芸能,燃え場,輝き場,乾さ場,濡れ場,濡れ場
芸能事務所タイタンの士長でもある、お笑コンビ・爆笑問題の太田光(の:上とと: 拓/,芸能,太田千晶,太田和楽,太田光代,太田裕美,太田光代
黒柳徹子が目らの幼いときについて書いた自伝的小説は『窓ぎわの〇〇)〇つ』。 のつつびに入るのは何 ?,芸能,トットちゃん,コッコちゃん,ロッロロちゃん,ホッホちゃん,トットちゃん
冬になるとよく聞く歌『北風小僧の〇つつ〇つ』。〇に入る人名は何 ?,芸能,杜太郎,暑太郎,温太郎,涼太朗,杜太郎
サンタクロースがトナカイをなぐさめる、という内容のクリスマスソングは何 ?,芸能,青鼻のトナカイ,銀鼻のトナカイ,白上邊のトナカイ,赤算のトナカイ,赤算のトナカイ
お笑いコンビの流れ星広、ずん、どぶろっくなどが所属する芸能事務所はどこ?,芸能,"at
松井企画",笠井企画,浅井企画,大井企画,浅井企画
映画『世界の中心で、愛をさけぶ』の主題歌として使われた、下井堅の曲は何 ?,芸能,中をとじて,口をとじて,まぶたをとじて,瞳をとじて,瞳をとじて
尾形貴弘、菅良太郎、向井革からなる人気お笑いトリオは何 ?,芸能,パンサー,チーター,ジャガー,ピューマ,パンサー
軍際や競技会などで奏でられる、トランペットを使った短い曲を何という?,芸能,ワルキューレ,ファンファーレ,カフェオーレ,トマトピューレ,ファンファーレ
ももいろクローバーZの妹分といえは ?,芸能,くしかつレインボー,うどんすきレインボー,おこのみやきレインボー,たこやきレインボー,たこやきレインボー
ドラマ『ルーズベルトゲーム』の題材となっているスポーツは何 ?,芸能,野球,テニス,サッカー,ラグビー,野球
映画『幸編の黄色いハンカチ」』」で、網走刑務所から出所する主人公・島田作を演じた俳優は誰 ?,芸能,松邊健,三宅健,堀内健,高倉健,高倉健
タレント・南明奈の夫であるお笑い人は誰 ?       「,芸能,矢部浩之,有野晋吉,岡村隆史,濱口優,濱口優
クイズ番組『世界ふしぎ発見!j で司会を務め、「ヒトシ君人形」のモテルになっているタレントは誰 ?,芸能,小沢仁志,卓野仁,松本人志,植木等,卓野仁
テレビ朝日系列の番組 『〇つ〇〇と一加家』。〇〇〇は何?,芸能,ドキッ,ドカン,サラッ,ポツン,ポツン
女優の杏が主演を演じた日本テレビのドラマ『〇〇〇が黙ってない』。CXに入る名前は何 ?,芸能,化咲舞,大前春子,坪井千夏,松方弘子,化咲舞
同じフレーズを連呼するサビも有名な、THE BLUE HEARTSのメジャーデビュー有曲は何 ?,芸能,マリアマリア,キャサリンキャサリン,リンダリンダ,アンナアンナ,リンダリンダ
