Q,Category,K1,K2,K3,K4,A
次のうち、トランプゲームのポーカーの役にあるのはどれ2?,雑学,カーブ,フォーク,シュート,ストレート,ストレート
次のうち、果物やクリームなどを、小麦粉で作った皮で巻いたスイーツはとどれ?,雑学,イランープ,ヤループ,イループ,クレープ,クレープ
ゲタやゾウリの足ではさむ部分を何と言う ?,雑学,耳緒,口緒,目緒,鼻緒,鼻緒
次のうち、意地をはる性格の人を意味する言葉はどれ?,雑学,がんこ,いんこ,ぶん こ,てんこ,がんこ
電車やバスの 「優先席」で行わないように注意されることは何 ?,雑学,居眠りをする,飲み物を飲む,携帯電話の使用,本を読む,携帯電話の使用
アルファベット3文字で「JAL」と略される、鶴のマークでおなじみの航空会往は何?,雑学,日本航空,第一航空,朝日航空,東京航空,日本航空
次のうち、ゲームにあるのはとれ?,雑学,ドリフ,ドミノ,ドリル,ドクロ,ドミノ
子ども素直にいうことを聞かない時期。「何期」 ?            「,雑学,反乱期,反抗其,反発其,反逆期,反抗其
次のうち、実際にある国民の祝日は 2,雑学,あおの日,さいろの日,あかの日,みとりの日,みとりの日
次のうち、「寝具」はどれ?,雑学,ベッド,テレビ,テーブル,ラジオ,ベッド
洗浴物を干すときに使う、ハンガーなどを吊るすための棒を何という 2?,雑学,物干し竿,差し金,警棒,大黒柱,物干し竿
次のうち、犬の品種にあるのはどれ 2?,雑学,マルバター,マルチーズ,マルジャム,マルマーガリン,マルチーズ
車に乗った時に体を固定する「C)〇つベルト」。〇〇〇は何 ?,雑学,シート,アート,レート,ボート,シート
自動車についている、スピードを沙とす時に踏むペダルは何 ?,雑学,ブリーチ,ブレード,ブレーン,ブレーキ,ブレーキ
次のうち、1ヶ月に1度発行される雑誌はどれ2?   _,雑学,しゅうかんし,げっかんし,にっかんし,じゅんかんし,げっかんし
ブリキ製の丸型のバッチのことを、一般に何という 2?,雑学,密バッチ,告バッチ,捕バッチ,樽バッチ,告バッチ
「六本木ヒルズ」や「虎ノ門ヒルズ」などの開発・運営で知られるデベロッパーは何 ?,雑学,木ビル,森ビル,森林ビル,林ビル,森ビル
西洋では「アダムの林檎」と呼ばれる、喉に見られる突起は何 ?,雑学,喉将軍,喉仏,喉紳,喉芋,喉仏
きりたんぼといえば、どこの郷土料埋 2,雑学,秋田県,広島県,愛知県,沖縄県,秋田県
日本語では堤堤という、水を溜めるために河川を横切って築かれる建築物は何 ?,雑学,ハム,ダム,ガム,エム,ダム
京都料理のおそうざいのことを、俗に何という ?,雑学,おてびょうし,おてならし,おばんざい,おはくしゅ,おばんざい
次のうち、そうめんなどに使われるだしの効いた調味料はどれ ?,雑学,こてつゆ,たれつゆ,どうつゆ,めんつゆ,めんつゆ
バーで、カクテルなどを作る人のことを何と言う ?,雑学,パーバリー,バーテンダー,バーコード,バーレーン,バーテンダー
次のうち、動きがにぶい人を意味する言葉はどれ?,雑学,よろい,くろい,とろい,しろい,とろい
煮詰めたリンゴの上にタルト生地をのせて焼き、ひっくり返して出すフランスのお県子は何 2,雑学,カルト・カカン,ナルト・ナナン,タルト・タタン,マルト・ママン,タルト・タタン
宝石のダイヤモンドの重さを表す単位は何 ?,雑学,シレット,クルット,ケロット,カラット,カラット
次のうち、最も丈が長いズボンはどれ 2?,雑学,七分丈ズボン,五分ズボン,九分丈ズボン,三分丈ズボン,九分丈ズボン
次のうち、自動車の燃料がなくなってしまうことを指す言葉はどれ3?,雑学,パンク,エンスト,バースト,ガス欠,ガス欠
次のうち、オランダ原産のウサギの品丁はどれ ?,雑学,ミニレッキス,ネザーランドドワーフ,日本白色種,ジャージウーリー,ネザーランドドワーフ
細い穴から押し出される様子が滝のようであることに由来して名づけられた細長いこんにゃくは何 ?,雑学,しらかわ,しらたさき,しらうみ,しらなみ,しらたさき
次のうち、タイ原産のネコの品種はとれ?,雑学,ジャパニーズボブテイル,アメリカンショートヘア,シャム,ロシアンブルー,シャム
0ジュンルエニヒゴ に コンリピ9んもてこが6テコレーションしたケーキ「COCOケーキ」。〇〇〇は何 ?,雑学,ショート,セカンド,サード,ファースト,ショート
_ 調味料の「七味〇〇〇」や「一味〇II認1⑨!⑨(⑨)とく口性,雑学,とうがらし,こしょう,わさび,みよょようが,とうがらし
"い      \あ
情」などの種類が:
「生命」「感情」なる、手相でみる手のひらの筋を何という ?",雑学,線,縁,棒,絆,線
宇都宮市と浜松市が年間治費量1位の座を争っている食べ物といえば回角,雑学,フーメン,息頭,欧子,みかん,欧子
通常よりも小さいいコーヒーカップ「〇OO〇OO〇O〇カップ」。〇〇〇〇は回角,雑学,ママダス,デミタス,カンタス,イミダス,デミタス
ある魚介類に米を詰めて炊き上げた、北海道森町発和締のグルメは何 ?2,雑学,ほたて飯,いか人,こんぶ飯,さけ飯,いか人
クレモン、スマーボ、ルンバといえば、いずれもどんな家事をするためのロボット 2,雑学,料理,洗準,掃除,アイロンがけ,掃除
次のうち、砂糖の中でも、一粒一粒が大きい砂糖を指す言葉はどれ?,雑学,ザラメ,ヒラメ,アマメ,カラメ,ザラメ
B級グルメ「冨士宮やきそば」といえば何県の名物料理 ?,雑学,静岡県,石川県,山梨県,宇山県,静岡県
普通、「忘年会」が行われるのは、次のうちどの時期?_,雑学,春休み,年末,お彼岸,お名,年末
次のうち、メキシコのお酒にあるのはどれ2?,雑学,テキーラ,アイテーラ,ナカマーラ,ミカターラ,テキーラ
次のうち、海で獲れない食材はどれ 2?,雑学,さくらげ,ほたてがい,まぐろ,わかめ,さくらげ
飲食店で働く人が食べる、お店で出される食事のことを何と言う2?,雑学,まけない,まじない,まかない,またない,まかない
次のうち、女性しかできない仕事はとれ?,雑学,紳父,僧但,碧主,巫女,巫女
次のうち、目動車を操縦するときに握るのはどれ2?   「,雑学,オンドル,トリンドル,キャンドル,ハンドル,ハンドル
車でエンジンが熱くなりすぎることを「オーバー〇〇〇」という。〇①〇つつつは何 ?,雑学,ラート,ヒート,レート,シート,ヒート
iPhoneやBlackBerryなどの種類がある、パソコン並みの機能を持った携錠電話を何という?,雑学,インターフォン,ガラパゴスケータイ,スマートフォン,IPフォン,スマートフォン
洋服で「ノースリーブ」といえはば、何がない服のこと2,雑学,スソ,ボタン,えり,そで,そで
毎年7月に「入園祭」が開催される関西地方の都市はどこ?,雑学,京都市,奈良市,岡山市,紳戸市,京都市
次のうち、アメリカのある大学で流行したことから名がつけられた旅行用の手所げけかばんはどれ?,雑学,ミシガンバック,"ン
フ
トルバック",オハイオバック,ボストンバック,ボストンバック
通常、タイヤキの中身に入っているのはどれ2?,雑学,あんこ,カレー,たい,ひき肉,あんこ
自動車に備えられている予備のタイヤのことを「〇〇〇タイヤ」という。〇〇〇に入る言葉は何 ?,雑学,スペル,ステアゾ,ストア,スペプア,スペプア
次のうち、ダンス音楽のジャンルはとれ?,雑学,サンテ,サンバ,サンク,サンタ,サンバ
ズボンやスカートが落ちないように腰に巻くものは何 ?,雑学,ベルト,ギルト,アルト,タルト,ベルト
インクジェットやレーザーなどの種六のあるパソコンの周辺機器は何 ?,雑学,フラッシュメモリ,プリンタ,キーボード,マワウス,プリンタ
ラーメンの具材に使われる「チャーシュー」は何の肉 ?,雑学,ざゅう肉,ぶた肉,ひつじ肉,とり肉,ぶた肉
消しゴムで消すことができるのはどれ 2?,雑学,マジック,万年筆,えんびぴびつ,筆ペン,えんびぴびつ
次のうち、邊日ではないのはどれ ?,雑学,敬老の日,こどもの日,成人の日,父の日,父の日
寿司の「鉄炎まき」の具になる魚は円時,雑学,タイ,ヒラメ,カレイ,マグロ,マグロ
次のうち、豚肉とキャベツを炒めて作る中国料理はどれ ?,雑学,コンポーザー,リクルーター,コンシーフラー,ホイコーロー,ホイコーロー
「コーンスープ」「コーンサラダ」に欠かせない食材は何 ?,雑学,ジャガイモ,ピーマン,トウモロコシ,ニンジン,トウモロコシ
次のうち、ねじを回す時に使う道具はどれ2?,雑学,パイロット,キャプテン,ナビゲーター,ドライバー,ドライバー
ウくひまっ08証ヨルッシー. mbたすずれ 2?,雑学,マスクメロン,オスクメロン,ラスクメロン,バスクメロン,マスクメロン
買ったものを分割で支払うことを何と言う ?   ーー,雑学,ローン,アーン,キーン,カーン,ローン
すし飯を油あげでつつんだものを「〇OO〇つ〇寿司」という。〇〇〇に入とを:ちゃ 閉4,雑学,いなお,いなか,いなり,いなだ,いなり
次のうち、韓国のお酒にあるのはどれ 2?,雑学,ニッコリ,バッチリ,マッコリ,マッタリ,マッコリ
自動車で、窓についた水滴を払う装置を何という ? 「,雑学,カイパー,キイパー,ワイパー,ダイパー,ワイパー
焼菓子の「アップルパイ」に使われとヨゴち時7     -,雑学,ナシ,カキ,バナナ,リンゴ,リンゴ
毎年1月1日は、何という委日 ?,雑学,止月,若水,初日,元日,元日
非常に高額で入手しにくいチケットのことを、ある金属を使って何という?,雑学,ウランチケット,シルバーチケット,アイアンチケット,プラチナチケット,プラチナチケット
フランス語では「ジュレ」と呼ばれるデザートは何 ?,雑学,チヨョコレート,ゼリー,ケーキ,おもち,ゼリー
「Vサイン」を作る時にたてる指は、中指と何指2,雑学,人差し指,小指,薬指,親指,人差し指
干支、星座占い、1年の月から連想される数字はどれ2,雑学,17,15,12,10,12
服のサイズが小さくて、きつい様子を表す言葉は何 ?,雑学,びちびぴち,かちかち,ばぱちばち,あちあち,びちびぴち
次のうち、ラーメンの具によく用いられている食べ物はどれ?,雑学,トンマ,アンマ,カンマ,メンマ,メンマ
次のうち、油揚げけに包まれた食べ物はどれ2,雑学,にぎり寿司,いなり寿司,ちらし寿司,てまき寿司,いなり寿司
広告郵便「DM」の「D」が意味する言葉は何2   -,雑学,ディスカウント,ダイレクト,デビュー,ドリーム,ダイレクト
餅をこしあんで包んだ、三重県名物の和巣子といえば何 2,雑学,黒柱,"=丘 =百
月!則",白編,赤想,赤想
LINE株式会往が連営する、会員が情報をひとつのページにまとめるネットサービスは何 ?,雑学,AFTERまとめ,QUITEまとめ,NAVERまとめ,EARIYまとめ,AFTERまとめ
次のうち、上から読んでも下から読んでも同じ言葉はどれ ?,雑学,たこやきやいた,だてまきまいた,たいやきやけた,たけやぶやけた,たけやぶやけた
パーティなどで人気のゲーム「〇〇〇危機一発」。〇〇〇は ?,雑学,青ひげ,白ひげ,黒ひげ,赤ひげ,黒ひげ
お年玉など少額のお金を入れて渡す、小さな袋のことを何という ?,雑学,ほち袋,べち袋,びち袋,ぷち袋,ほち袋
かつて洗濯に使われた、表面のギザギザで衣服をこすって洗う道具は回角,雑学,洗浴板,洗準坂,洗浴仮,洗港孤,洗浴板
チェーン店の「タリーズ」 「ドトール」「スターバックス」といえはば、主に何を出す店 ?,雑学,ワイン,ビール,日本酒,コーヒー,コーヒー
次の料理道具のうち、巡物はどれ?,雑学,包丁,フライパン,まな板,計量カップ,包丁
1円玉。原料はどんな金属 ?,雑学,ニッケル,アルミニウム,コバルト,鋼,アルミニウム
仕事などで相手と会う約束を取りつけることを「〇〇をとる」という。(つうは何 ?,雑学,アポ,アンジ,アゴ,アビ,アポ
国民の各日で、かつては昭和天皇のgmゆ】た円肝2,雑学,意法記念日,元日,海の日,昭和の日,昭和の日
てるてる坊主とは、どんな天気になることを親ってかけられるもの 2?,雑学,晴れ,"NN|
十",くもり,"呈記
雪",晴れ
日本で「国民の祝日」が1日もない月は何月 ?    」,雑学,11月,3月,7月,6月,6月
世界三大珍味に数えられる、チョウザメの卵は何 ?,雑学,キャピア,キャンドル,キャベツ,キャンプ,キャピア
節分の豆まさやバレンタインデーがあるのは何月 ?,雑学,8月,6月,4月,2月,2月
服が汚れないように画家や幼稚園児が着る、ゆったりとした上着を何という ?,雑学,ステップ,ストック,スモック,スリップ,スモック
「ミミちゃん」といううさぎのキャラクターがいる、鍋幼児用品専門店はとどこ?,雑学,東松屋,南松屋,西松屋,北松屋,西松屋
ピザのトッピングなどに使われる、イワシの油漬けを何という ?,雑学,アンチュワウ,アンチャク,アンチョビ,アンチョク,アンチョビ
次のうち、船の種類にあるのはどれ 2?,雑学,クローバー,クエーカー,クルーザー,クエーサー,クルーザー
国道や都道府県道の番号を示す「案内標識」は、何色の看板に白い字で書かれている ?,雑学,"字
月",黄,黒,赤,"字
月"
千葉県にあるテーマパーク「TDL」の「T」は何の頭文字 ?,雑学,Tokyo,Tamachi,Toshima,Taitou,Tokyo
パソコンの「FMV」シリーズを製造・販売しているメーカーは何 ?,雑学,富士通,NEC,SONY,PanaSonlic,富士通
牛乳に卵と砂糖をまぜてつくる飲みもの「ミルク〇〇〇」。 の〇〇〇は回角,雑学,カーキ,セーキ,ソーキ,レーキ,セーキ
次のうち、実際にいる魚はどれ?,雑学,はたはた,またまた,わたわた,かたかた,はたはた
計からさげて使うデザインのバッグは「〇OOO〇バッグ」。 〇OO〇〇は何 ?,雑学,ショルダー,シャンプー,ジョイナー,シュリラー,ショルダー
有料で動く洗浴機や乾燥機が備えられた施設「コイン〇OO〇OO〇O」 。 のO〇〇は何 ?,雑学,エントリー,ランドリー,パントリー,カントリー,ランドリー
次のうち、音楽プレーヤーなどで音楽を聴く時に、耳につけるものはどれ?,雑学,シロホン,サイホン,イヤホン,パイロン,イヤホン
チョウチョやガの幼虫のことを何と言う ?,雑学,イモムシ,キノコムン,ネギムシ,ゴボウムシ,イモムシ
料理に使われる、泡立てた卵白に砂糖などを加えたものを何という ?,雑学,ゲレンデ,メレンゲ,カレント,クリンチ,メレンゲ
かつての名前を 「『吉田工業株式会視」といった、ファスナーの生産で有名な会往は何 ?,雑学,YYY,YYK,YKK,KKK,YKK
「モンペ」とも呼ばれる、学校に対して理不尽な要求をする親を指す言葉は何 ?,雑学,モンキーペアレント,モンキーペイメント,モンスターペイメント,モンスターペアレント,モンキーペイメント
ライオンが発売する、煙をたいてゴキブリなどを駆除する尊虫剤はどれ?,雑学,バルヨン,バルサン,バルイチ,バルニ,バルサン
容器の側面に新俳句大賞の受賞作が掲載されている伊藤園の緑茶飲料は回角,雑学,あなたのお人茶,綾鷹,おていお茶,伊右衛門,おていお茶
次のうち、サトウキビからつくられるお湘はどれ3?,雑学,ラム,ハム,ゴム,リム,ラム
次のうち、日本生まれの酒はどれ ?,雑学,紹興酒,日本酒,テキーラ,ウォッカ,日本酒
ニンジンなどの切り方で、輸切りの邊分の大きさに切ることを、その形から何切りという ?,雑学,新月切り,満月切り,三日月切り,生月切り,生月切り
次のうち、お上昌子メーカーにあるのはどれ ?,雑学,ロッテテ,キッテ,サッテ,マッテ,ロッテテ
2人が顔を向い合せ、笑うと負けになる、日本古来の遊びよといえば何 ?,雑学,ゆりねっこ,もやしっこ,おにごっこ,にらめっこ,にらめっこ
ごはんにふりかけて食べられることが多い、カタクチイワシなどの稚魚のことをなんという ?,雑学,シラフス,アオス,アカス,クロス,シラフス
往会人に必要な「ホウ・レン・ソウ」の「ホウ」が意味する言葉は回角,雑学,法事,訪問,報告,包装,報告
自動車メーカーのBMWやフォルクスワーゲンの本和視がある国はどこ ?,雑学,ロンア,イタリア,フラフランス,ドイツ,ドイツ
「テレビ」を、アルファベット2文字では何と表す ?,雑学,TB,CM,JT,TV,TV
化粧をしていない素顔のことを、俗に何という ?,雑学,スットン,スッポン,スッピン,スッキン,スッピン
「フリマ」と略される催しといえば何2,雑学,フリーマエストロ,フリーマスター,フリーマイコン,フリーマーケット,フリーマーケット
次のうち、日本の自動車メーカーにあるのはとどとれ2?,雑学,トヨカ,トヨコ,トヨス,トヨタ,トヨタ
歯ブラシや爪楊枝などで、歯の汚れを掃除する作業を、普通、何という?,雑学,歯磨き,歯研ぎ,歯擦り,歯起り,歯磨き
魚のすり身を油で揚げた、「揚げかまぼこ」とも呼ばれる鹿児島の名物は何 ?,雑学,ぶんご揚げ,ちくご揚げ,ひぜん揚げ,さつま揚げ,さつま揚げ
缶飲料を開ける際に引っ張るつまみの部分のことを何という ?,雑学,プルタブ,プルオン,プルボード,プルアウト,プルタブ
次のうち、子どもが飲んでも良い飲み物はどれ ?,雑学,ワイン,ビール,宋准ドリンク,日本酒,宋准ドリンク
レールが1本しかない乗り物はどれ2?,雑学,地下鉄,モノレール,ケーブルカー,路面電車,モノレール
運動会でよく行われるダンスは「C)〇つ〇ダンス」。〇〇〇は ?,雑学,スプーン,サーバー,フォーク,ナイフ,フォーク
次のうち、鳥の種類にあるのはどれ 2?,雑学,タクロウ,ハクドウ,ゴクロウ,フクロウ,フクロウ
次のうち、貝の種類にあるのはどれ 2?,雑学,ホタテ,ホタル,ホテル,ホタカ,ホタテ
ホイコーローやペキンダックといえば、どこの国の料理 ?,雑学,フフランス,中国,イタリア,アメリカ,中国
電車の乗車時に運賃の一部を払わずにすませるという不正行為を指す言葉はどれ ?,雑学,タバコ,キセル,ハマキ,パイプ,キセル
次のうち、天気が良くて暖かいことを意味する言葉はどれ?,雑学,ビピカピカ,プカプカ,ポカポカ,チカチカ,ポカポカ
"ラテン語
ラテン語で「『:
海の水」 という意味の名前を持つ、3月の誕生石は何 ?",雑学,ルビピー,アクアマリン,ダイヤモンド,サファイア,アクアマリン
次のうち、髪の毛を短く刈るための道具はどれ ?,雑学,バリカン,サバカン,ツナカン,バクダン,バリカン
「コーラフロート」といえば、コーラに何を浮かべた飲み物 ?,雑学,チヨョコレート,アイスクリーム,パン,ビスケット,アイスクリーム
ハーレーダビッドソンやカワサキといえば、どんな乗り物の製造で有名なメーカー ?,雑学,バイク,新電線,へリコプター,洪水艦,バイク
浜松市のゆるキャラ、出世大名家康くんのちょんまげ部分になっている魚は何 ?,雑学,サケ,カツオ,ウナギ,マグロ,ウナギ
「調味料のさしすせそ」で、「さ」が表す調味料は何2,雑学,砂糖,胡概,みりん,味噌,砂糖
コロッケやとんかつなどの揚げ物を作るとき、普通、衣として使うものは次のうちとどれ?,雑学,パン粉,片栗粉,米粉,そば粉,パン粉
オセロのコマで、白の反対側は何色 ?,雑学,"字
月",緑,黒,赤,黒
次のうち、浪具はどれ?,雑学,ビスケット,バスケット,ブランケット,エナチケット,ブランケット
お寿司屋さんで「ガリ」といえば何のこと2?      -    「,雑学,ノリ,,ショウガ,お酒,ショウガ
仕事を後の人に引きつぐことを、リレーに例えて「〇〇〇タッチ」。〇〇つつは ?,雑学,バトウ,バトル,パトス,バトン,バトン
「お造り」といえば、どんな料理のこと2,雑学,寿可,漬物,刺身,,刺身
洋服で、裏表両面で着られるデザインのものを何という2?,雑学,リハーサル,リバイバル,リバーシブル,リバウンド,リバーシブル
次のうち、Zoff、JINS、愛眼が主力各品として取り扱っているアイテムは何 ?,雑学,メガネ,ブローチ,マニキュア,ネックレス,メガネ
漬物のたくあん漬け、べったら漬けに用いられる野楽は何 ?,雑学,カブ,大根,ニンジン,日楽,大根
毎年11月の第3木曜日に販売が解禁される、フランス産のガメイ種の赤ワインといえば何 ?,雑学,ボジョレー・ヌーボー,アール・ヌーボー,ジェルマン・ヌーボー,グータン・ヌーボー,ボジョレー・ヌーボー
次のうち、着物の生地になる繊物にあるのはどれ2?      「,雑学,つむじ,つむぎ,つむり,つむる,つむぎ
次のうち、中国料理にあるのはどれ 2?,雑学,ビピーフン,ビーコン,ビーワン,ビートン,ビピーフン
将棋で使う駒の中で、最も枚数が多いものは何 ?,雑学,香車,,桂馬,歩兵,歩兵
山で大声を出した時などに起こる、声が反統して返ってくる現象を何という ?,雑学,やまにし,やまさきさ,やまもと,やまびこ,やまびこ
央語でお風呂を意味する言葉はどれ 2?,雑学,タクシー,トラック,バス,ダンプ,バス
上野動物園の人気者、中国原産の動物は何 ?          「,雑学,ホンダ,ワンダ,カンダ,パンダ,パンダ
寿司屋で出される、ショウガの人甘酢漬けのことを何という?,雑学,ナミダ,ツメ,アガリ,ガリ,ガリ
「料理のさしすせそ」に含まれない調味料は次のどれ?2,雑学,胡概,酢,塩,砂糖,胡概
マツモトキヨシなどんな、医薬品の他、食料品や日用品など幅広く販売する店を何という ?,雑学,ドラッグストア,トラップストア,トラッドストア,トラックストア,ドラッグストア
「オムレツ・ライス」という和製英語に由来して名づけられた、チキンライスを卵で包んだ料理は何 ?,雑学,オムライス,オレライス,レツライス,ムレライス,オムライス
よく占いに使われる、78枚1セットのカードといえば、次のうちどれ ?,雑学,キャロットカード,パイロットカード,タロットカード,スロットカード,タロットカード
国民の邊日「こどもの日」があるのは何月 ?       -,雑学,5月,7月,9月,11月,5月
女性のスカートに見られるひだのことを何という?,雑学,プリーズ,プリーツ,プリッツ,プリンス,プリーツ
足を前に組んですわることを「〇〇つ〇をかく」。〇〇〇は ?,雑学,おぐら,あぐら,もぐら,かぐら,あぐら
アンチョビの原料となる魚は「〇つつ〇イワシン」。〇〇〇びは何 ?,雑学,アイクチ,カタクチ,フタクチ,ヒトクチ,カタクチ
ウマの肉のことを、通称、何という2,雑学,オクラ肉,サクラ肉,カクラ肉,マクラ肉,サクラ肉
アメリカ・シアトルで生まれたコーヒーチェーン、スター〇〇〇。〇〇のつつは何 ?,雑学,レックス,シックス,ボックス,バックス,バックス
次のうち、ファッションショーの舞台として設置される通路を意味する王主ヨたぎす<光晴2,雑学,キャットウォーク,パンダウォーク,マウスワウォーク,ゼブラウォーク,キャットウォーク
次のうち、ベトナムの民族衣装にあるのはどれ?    「,雑学,アカザイ,クロザイ,アオザイ,シロザイ,アオザイ
サテン地のジャンパーに、「虎」や「龍」 「鷹」など日本の刺繍を施したジャンパーを何という?,雑学,スカジャン,ブルゾン,ビピーコート,刺青,スカジャン
洋式トイレの便座をその形から大きく 2種類に分けると「0型」と何?,雑学,U型,Y型,D型,A型,U型
「十八番」や「馬脚をあらわす」といえば、どんな伝統芸能から生まれた言葉 ?,雑学,落語,俳句,歌舞伎,"=
茶道",歌舞伎
カツオの身の表面を軽くあぶったものを切り分け、薬味をつけて食べる料理を何という ?,雑学,タタン,タタキ,タタリ,タタミ,タタキ
の】ロED42IEG凍ED本/すをた時の「D」が表すものは何 ?,雑学,キッナン,ダイニング,リビング,お風属,ダイニング
タヒチの言葉で「巻き付けるスカート」という意味がある、女性が水着の上に巻く布は何?,雑学,パレット,パレスチナ,パレード,パレオ,パレオ
次の有名な絵画作品のうち、日本で押かれたものはどれ3?,雑学,燕子化図扉風,ナポレオンの戴冠式,アルカディアの牧人,落穂拍い,燕子化図扉風
夏になくセミの種類にいるのは「〇〇つつボウシン」 。〇〇〇は ?,雑学,テクテク,シクシク,ツクツク,サクサク,ツクツク
サーティワン、ブルーシールといえば、どんなスイーツのお店 ?,雑学,テイフミス,アイスクリーム,カステラ,シュークリーム,アイスクリーム
ワク poまっ5半ミッムマルル/9具天たうる2還たとれ?,雑学,桜もち,尻もち,義もち,柏もち,尻もち
次のうち、実際にあるドーナツチェーンはとどれ?,雑学,ムッシュドーナツ,ミセスドーナツ,マダムドーナツ,ミスタードーナツ,ミスタードーナツ
次のうち、運転免許がなくても運転できる乗り物はどれ ?,雑学,マイクロバス,自転車,トラック,オートバイ,自転車
次のうち、「あけましておめでとうこごこざいます」というあいさつをする時期はいつ ?,雑学,お品,ひな祭り,お正月,七夕,お正月
アサリを使ったパスタ料理のことを何という?,雑学,ボンゴロ,"ロリ
ジン
ボン",ボンゴレ,ボンクレ,ボンゴレ
次のうち、こどもが順調に成長する様子を意味する言葉はどれ ?,雑学,すくすく,かくかく,ごくさく,とくとく,すくすく
移動でためた「プラ」を用いて街を育てる「位置ゲー」といえば、次ののまっ,雑学,恐益ドミニオン,秘宝探偵キャリー,コロニーな生活,プロ野球PRIDE,コロニーな生活
その形が数字の1に似ていることから、「ポッキー&プリッツの日」は何月何日に定められている?,雑学,11月25日,11月11日,11月5日,11月24日,11月11日
三角形の形の胴体でおなじみの、口アカイガの上さち円7,雑学,バラライカ,バララエビ,バララサケ,バララタコ,バラライカ
特に大学で見られる、文化・芸術・スポーツなど、趣味が同じ人の集まりを何という?,雑学,スクエア,スフイア,サークル,キューブ,サークル
パスタの一種 「ボンゴレビアンコ」に使われている貝類は何 ?,雑学,アサイー,浅漬け,アサリ,浅払,アサリ
トップ部分を短くして立たせ、耳周りや補足を長めにする髪型を何という?,雑学,ライオンカット,タイガーカット,ウルフカット,ホースカット,ウルフカット
